Session Title,Percentage with Has Any Encounters? preceded by Immunizations: MMR receipt within 10 years and Number of Patients by Age at Encounter in Years Range and State of Residence,,,,
Session ID,2776947,,,,
Data Model,Patients,,,,
Population Base,All Patients,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence: Texas AND (Billed Procedures: INITIAL PREVENTIVE MEDICINE NEW PT AGE 5-11 YRS 99383, INITIAL PREVENTIVE MEDICINE NEW PT AGE 1-4 YRS 99382, INITIAL PREVENTIVE MEDICINE NEW PATIENT <1YEAR 99381, PERIODIC PREVENTIVE MED EST PATIENT 5-11YRS 99393, PERIODIC PREVENTIVE MED EST PATIENT 1-4YRS 99392, PERIODIC PREVENTIVE MED ESTABLISHED PATIENT <1Y 99391 OR Encounter Type: Well Child OR Diagnosis (All): Encounter for newborn, infant and child health examinations( ICD-10-CM: Z00.1 )) AND Has Any Encounters?",,,,
Session Date Range,1/1/2018 - 10/30/2025,,,,
Export User,Daniel Weinberger,,,,
Date of Export,1/6/2026,,,,
,,,,,
,,,,,
,,,Measures,Percentage with Has Any Encounters? preceded by Immunizations: MMR receipt within 10 years (%),Number of Patients
Age at Encounter in Years,State of Residence,Year,Month,,
Less than 1 Years,Texas,2018,Jan,0.63%,27522
,,,Feb,0.61%,24285
,,,Mar,0.70%,32625
,,,Apr,0.66%,30686
,,,May,0.74%,31407
,,,Jun,0.62%,28957
,,,Jul,0.60%,29501
,,,Aug,0.70%,32173
,,,Sep,0.73%,28217
,,,Oct,0.84%,33616
,,,Nov,0.81%,30578
,,,Dec,0.64%,28559
,,2019,Jan,0.78%,34325
,,,Feb,0.82%,29524
,,,Mar,0.86%,31918
,,,Apr,0.83%,32060
,,,May,0.98%,32503
,,,Jun,0.85%,30490
,,,Jul,0.91%,32982
,,,Aug,1.03%,33021
,,,Sep,0.95%,31778
,,,Oct,1.00%,34993
,,,Nov,0.97%,29894
,,,Dec,0.90%,33055
,,2020,Jan,1.00%,35801
,,,Feb,0.79%,31122
,,,Mar,0.77%,30722
,,,Apr,0.60%,27612
,,,May,0.55%,30472
,,,Jun,0.49%,32507
,,,Jul,0.60%,32630
,,,Aug,0.51%,32097
,,,Sep,0.55%,33516
,,,Oct,0.58%,33995
,,,Nov,0.59%,31176
,,,Dec,0.66%,33731
,,2021,Jan,0.65%,33280
,,,Feb,0.44%,27975
,,,Mar,0.63%,38435
,,,Apr,0.73%,34111
,,,May,0.71%,33928
,,,Jun,0.82%,37166
,,,Jul,0.73%,34941
,,,Aug,0.87%,36867
,,,Sep,0.76%,36638
,,,Oct,0.75%,37372
,,,Nov,0.68%,37360
,,,Dec,0.70%,37005
,,2022,Jan,0.64%,39157
,,,Feb,0.62%,36462
,,,Mar,0.76%,42019
,,,Apr,0.67%,38018
,,,May,0.76%,38215
,,,Jun,0.74%,38976
,,,Jul,0.83%,36147
,,,Aug,0.77%,41903
,,,Sep,0.78%,39650
,,,Oct,0.73%,39570
,,,Nov,0.80%,38509
,,,Dec,0.74%,38163
,,2023,Jan,0.63%,42316
,,,Feb,0.61%,38410
,,,Mar,0.84%,43330
,,,Apr,0.71%,37105
,,,May,0.66%,41491
,,,Jun,0.75%,40283
,,,Jul,0.53%,38421
,,,Aug,0.73%,42537
,,,Sep,0.70%,39062
,,,Oct,0.74%,44606
,,,Nov,0.70%,42382
,,,Dec,0.74%,40224
,,2024,Jan,0.67%,47203
,,,Feb,0.65%,43978
,,,Mar,0.64%,44091
,,,Apr,0.76%,46179
,,,May,0.75%,44660
,,,Jun,0.67%,42990
,,,Jul,0.70%,45992
,,,Aug,0.77%,47834
,,,Sep,0.70%,45580
,,,Oct,0.80%,49334
,,,Nov,0.72%,42667
,,,Dec,0.65%,46764
,,2025,Jan,0.65%,49401
,,,Feb,0.67%,45193
,,,Mar,1.09%,48192
,,,Apr,1.37%,47479
,,,May,1.70%,46152
,,,Jun,1.62%,45583
,,,Jul,1.75%,47156
,,,Aug,1.63%,44867
,,,Sep,1.40%,46804
,,,Oct 1 – Oct 30,1.32%,47440
,"Total: Total includes all data under the Less than 1 Years bucket, including data from rows not currently displayed.",2018,Jan,0.63%,27522
,,,Feb,0.61%,24285
,,,Mar,0.70%,32625
,,,Apr,0.66%,30686
,,,May,0.74%,31407
,,,Jun,0.62%,28957
,,,Jul,0.60%,29501
,,,Aug,0.70%,32173
,,,Sep,0.73%,28217
,,,Oct,0.84%,33616
,,,Nov,0.81%,30578
,,,Dec,0.64%,28559
,,2019,Jan,0.78%,34325
,,,Feb,0.82%,29524
,,,Mar,0.86%,31918
,,,Apr,0.83%,32060
,,,May,0.98%,32503
,,,Jun,0.85%,30490
,,,Jul,0.91%,32982
,,,Aug,1.03%,33021
,,,Sep,0.95%,31778
,,,Oct,1.00%,34993
,,,Nov,0.97%,29894
,,,Dec,0.90%,33055
,,2020,Jan,1.00%,35801
,,,Feb,0.79%,31122
,,,Mar,0.77%,30722
,,,Apr,0.60%,27612
,,,May,0.55%,30472
,,,Jun,0.49%,32507
,,,Jul,0.60%,32630
,,,Aug,0.51%,32097
,,,Sep,0.55%,33516
,,,Oct,0.58%,33995
,,,Nov,0.59%,31176
,,,Dec,0.66%,33731
,,2021,Jan,0.65%,33280
,,,Feb,0.44%,27975
,,,Mar,0.63%,38435
,,,Apr,0.73%,34111
,,,May,0.71%,33928
,,,Jun,0.82%,37166
,,,Jul,0.73%,34941
,,,Aug,0.87%,36867
,,,Sep,0.76%,36638
,,,Oct,0.75%,37372
,,,Nov,0.68%,37360
,,,Dec,0.70%,37005
,,2022,Jan,0.64%,39157
,,,Feb,0.62%,36462
,,,Mar,0.76%,42019
,,,Apr,0.67%,38018
,,,May,0.76%,38215
,,,Jun,0.74%,38976
,,,Jul,0.83%,36147
,,,Aug,0.77%,41903
,,,Sep,0.78%,39650
,,,Oct,0.73%,39570
,,,Nov,0.80%,38509
,,,Dec,0.74%,38163
,,2023,Jan,0.63%,42316
,,,Feb,0.61%,38410
,,,Mar,0.84%,43330
,,,Apr,0.71%,37105
,,,May,0.66%,41491
,,,Jun,0.75%,40283
,,,Jul,0.53%,38421
,,,Aug,0.73%,42537
,,,Sep,0.70%,39062
,,,Oct,0.74%,44606
,,,Nov,0.70%,42382
,,,Dec,0.74%,40224
,,2024,Jan,0.67%,47203
,,,Feb,0.65%,43978
,,,Mar,0.64%,44091
,,,Apr,0.76%,46179
,,,May,0.75%,44660
,,,Jun,0.67%,42990
,,,Jul,0.70%,45992
,,,Aug,0.77%,47834
,,,Sep,0.70%,45580
,,,Oct,0.80%,49334
,,,Nov,0.72%,42667
,,,Dec,0.65%,46764
,,2025,Jan,0.65%,49401
,,,Feb,0.67%,45193
,,,Mar,1.09%,48192
,,,Apr,1.37%,47479
,,,May,1.70%,46152
,,,Jun,1.62%,45583
,,,Jul,1.75%,47156
,,,Aug,1.63%,44867
,,,Sep,1.40%,46804
,,,Oct 1 – Oct 30,1.32%,47440
? 1 and < 2 Years,Texas,2018,Jan,70.04%,12599
,,,Feb,69.09%,11234
,,,Mar,72.33%,14916
,,,Apr,72.16%,14600
,,,May,70.86%,14584
,,,Jun,69.40%,12872
,,,Jul,68.58%,13673
,,,Aug,68.10%,15368
,,,Sep,67.77%,13572
,,,Oct,70.52%,15447
,,,Nov,71.29%,14039
,,,Dec,71.71%,12494
,,2019,Jan,71.43%,16297
,,,Feb,71.29%,14367
,,,Mar,72.72%,14335
,,,Apr,72.11%,15459
,,,May,71.59%,14870
,,,Jun,70.32%,13364
,,,Jul,71.01%,15304
,,,Aug,70.12%,15253
,,,Sep,69.26%,14468
,,,Oct,72.25%,15966
,,,Nov,73.12%,13145
,,,Dec,73.33%,14067
,,2020,Jan,72.58%,16829
,,,Feb,71.96%,14393
,,,Mar,72.50%,11803
,,,Apr,66.24%,10275
,,,May,69.30%,14194
,,,Jun,68.25%,15286
,,,Jul,67.39%,14067
,,,Aug,66.97%,14422
,,,Sep,68.30%,15660
,,,Oct,68.77%,16500
,,,Nov,69.90%,14351
,,,Dec,70.53%,15496
,,2021,Jan,69.68%,15896
,,,Feb,68.11%,12945
,,,Mar,70.88%,19578
,,,Apr,71.10%,17871
,,,May,70.85%,15250
,,,Jun,71.09%,17460
,,,Jul,71.07%,16492
,,,Aug,68.60%,16715
,,,Sep,69.94%,16922
,,,Oct,70.26%,17236
,,,Nov,70.23%,16519
,,,Dec,72.01%,15671
,,2022,Jan,71.70%,17037
,,,Feb,70.72%,16518
,,,Mar,71.57%,18721
,,,Apr,70.69%,16905
,,,May,72.45%,16792
,,,Jun,70.40%,16642
,,,Jul,70.73%,15724
,,,Aug,69.09%,19005
,,,Sep,68.51%,17960
,,,Oct,69.59%,17638
,,,Nov,70.68%,16926
,,,Dec,70.55%,16483
,,2023,Jan,71.01%,19314
,,,Feb,69.26%,18059
,,,Mar,71.56%,20395
,,,Apr,71.12%,17543
,,,May,71.76%,18903
,,,Jun,70.33%,18239
,,,Jul,69.01%,17305
,,,Aug,69.30%,20367
,,,Sep,69.44%,18137
,,,Oct,70.77%,19409
,,,Nov,70.52%,18879
,,,Dec,70.53%,17344
,,2024,Jan,69.53%,21642
,,,Feb,70.57%,20570
,,,Mar,72.31%,19367
,,,Apr,71.04%,21739
,,,May,71.49%,20365
,,,Jun,69.23%,18582
,,,Jul,69.10%,20504
,,,Aug,68.63%,22466
,,,Sep,67.45%,20417
,,,Oct,69.19%,22556
,,,Nov,68.73%,18659
,,,Dec,69.99%,20563
,,2025,Jan,69.27%,22919
,,,Feb,68.94%,21210
,,,Mar,71.46%,22576
,,,Apr,72.91%,22438
,,,May,74.94%,21014
,,,Jun,74.80%,20214
,,,Jul,74.85%,21407
,,,Aug,73.21%,21170
,,,Sep,73.33%,22056
,,,Oct 1 – Oct 30,73.13%,21713
,"Total: Total includes all data under the ? 1 and &lt; 2 Years bucket, including data from rows not currently displayed.",2018,Jan,70.04%,12599
,,,Feb,69.09%,11234
,,,Mar,72.33%,14916
,,,Apr,72.16%,14600
,,,May,70.86%,14584
,,,Jun,69.40%,12872
,,,Jul,68.58%,13673
,,,Aug,68.10%,15368
,,,Sep,67.77%,13572
,,,Oct,70.52%,15447
,,,Nov,71.29%,14039
,,,Dec,71.71%,12494
,,2019,Jan,71.43%,16297
,,,Feb,71.29%,14367
,,,Mar,72.72%,14335
,,,Apr,72.11%,15459
,,,May,71.59%,14870
,,,Jun,70.32%,13364
,,,Jul,71.01%,15304
,,,Aug,70.12%,15253
,,,Sep,69.26%,14468
,,,Oct,72.25%,15966
,,,Nov,73.12%,13145
,,,Dec,73.33%,14067
,,2020,Jan,72.58%,16829
,,,Feb,71.96%,14393
,,,Mar,72.50%,11803
,,,Apr,66.24%,10275
,,,May,69.30%,14194
,,,Jun,68.25%,15286
,,,Jul,67.39%,14067
,,,Aug,66.97%,14422
,,,Sep,68.30%,15660
,,,Oct,68.77%,16500
,,,Nov,69.90%,14351
,,,Dec,70.53%,15496
,,2021,Jan,69.68%,15896
,,,Feb,68.11%,12945
,,,Mar,70.88%,19578
,,,Apr,71.10%,17871
,,,May,70.85%,15250
,,,Jun,71.09%,17460
,,,Jul,71.07%,16492
,,,Aug,68.60%,16715
,,,Sep,69.94%,16922
,,,Oct,70.26%,17236
,,,Nov,70.23%,16519
,,,Dec,72.01%,15671
,,2022,Jan,71.70%,17037
,,,Feb,70.72%,16518
,,,Mar,71.57%,18721
,,,Apr,70.69%,16905
,,,May,72.45%,16792
,,,Jun,70.40%,16642
,,,Jul,70.73%,15724
,,,Aug,69.09%,19005
,,,Sep,68.51%,17960
,,,Oct,69.59%,17638
,,,Nov,70.68%,16926
,,,Dec,70.55%,16483
,,2023,Jan,71.01%,19314
,,,Feb,69.26%,18059
,,,Mar,71.56%,20395
,,,Apr,71.12%,17543
,,,May,71.76%,18903
,,,Jun,70.33%,18239
,,,Jul,69.01%,17305
,,,Aug,69.30%,20367
,,,Sep,69.44%,18137
,,,Oct,70.77%,19409
,,,Nov,70.52%,18879
,,,Dec,70.53%,17344
,,2024,Jan,69.53%,21642
,,,Feb,70.57%,20570
,,,Mar,72.31%,19367
,,,Apr,71.04%,21739
,,,May,71.49%,20365
,,,Jun,69.23%,18582
,,,Jul,69.10%,20504
,,,Aug,68.63%,22466
,,,Sep,67.45%,20417
,,,Oct,69.19%,22556
,,,Nov,68.73%,18659
,,,Dec,69.99%,20563
,,2025,Jan,69.27%,22919
,,,Feb,68.94%,21210
,,,Mar,71.46%,22576
,,,Apr,72.91%,22438
,,,May,74.94%,21014
,,,Jun,74.80%,20214
,,,Jul,74.85%,21407
,,,Aug,73.21%,21170
,,,Sep,73.33%,22056
,,,Oct 1 – Oct 30,73.13%,21713
? 2 and < 3 Years,Texas,2018,Jan,95.79%,5820
,,,Feb,95.38%,5841
,,,Mar,95.81%,7724
,,,Apr,95.46%,7673
,,,May,95.82%,7633
,,,Jun,95.78%,6664
,,,Jul,95.62%,7243
,,,Aug,95.35%,8553
,,,Sep,95.52%,7207
,,,Oct,95.61%,8422
,,,Nov,96.09%,6936
,,,Dec,95.91%,5866
,,2019,Jan,95.58%,7651
,,,Feb,95.12%,7295
,,,Mar,95.77%,7188
,,,Apr,95.86%,7945
,,,May,95.83%,7483
,,,Jun,95.92%,6961
,,,Jul,95.96%,7920
,,,Aug,95.97%,8412
,,,Sep,95.88%,7664
,,,Oct,96.31%,8680
,,,Nov,96.22%,6530
,,,Dec,96.49%,6719
,,2020,Jan,96.46%,8164
,,,Feb,96.10%,7308
,,,Mar,96.32%,4750
,,,Apr,97.24%,2431
,,,May,96.71%,5531
,,,Jun,97.09%,8234
,,,Jul,96.36%,7536
,,,Aug,96.03%,7500
,,,Sep,96.27%,8197
,,,Oct,96.41%,9098
,,,Nov,96.04%,7567
,,,Dec,95.76%,7574
,,2021,Jan,96.03%,7585
,,,Feb,95.76%,6395
,,,Mar,95.33%,9867
,,,Apr,94.66%,9615
,,,May,95.26%,8333
,,,Jun,95.07%,8994
,,,Jul,95.07%,8765
,,,Aug,94.49%,9143
,,,Sep,95.44%,8887
,,,Oct,95.31%,9546
,,,Nov,95.35%,8706
,,,Dec,95.60%,8204
,,2022,Jan,95.47%,8711
,,,Feb,95.33%,8908
,,,Mar,95.54%,10463
,,,Apr,95.30%,9785
,,,May,95.18%,9274
,,,Jun,95.52%,9112
,,,Jul,95.44%,8430
,,,Aug,94.92%,11132
,,,Sep,95.23%,10121
,,,Oct,95.64%,9612
,,,Nov,95.57%,8870
,,,Dec,95.44%,7986
,,2023,Jan,95.20%,9629
,,,Feb,95.66%,9520
,,,Mar,95.80%,10668
,,,Apr,95.58%,9390
,,,May,95.84%,10366
,,,Jun,95.56%,9541
,,,Jul,95.94%,9484
,,,Aug,95.27%,11609
,,,Sep,95.04%,9994
,,,Oct,95.84%,10852
,,,Nov,95.98%,10001
,,,Dec,96.07%,8839
,,2024,Jan,95.60%,11187
,,,Feb,95.06%,11486
,,,Mar,95.83%,11076
,,,Apr,95.42%,12458
,,,May,95.66%,11217
,,,Jun,95.37%,10468
,,,Jul,95.39%,11626
,,,Aug,94.73%,13477
,,,Sep,95.48%,11909
,,,Oct,95.36%,12719
,,,Nov,95.01%,10163
,,,Dec,95.34%,10783
,,2025,Jan,95.05%,12188
,,,Feb,94.96%,11988
,,,Mar,94.77%,12387
,,,Apr,94.70%,12980
,,,May,94.82%,11827
,,,Jun,94.70%,11978
,,,Jul,94.80%,12896
,,,Aug,94.76%,13102
,,,Sep,94.72%,12717
,,,Oct 1 – Oct 30,94.39%,12776
,"Total: Total includes all data under the ? 2 and &lt; 3 Years bucket, including data from rows not currently displayed.",2018,Jan,95.79%,5820
,,,Feb,95.38%,5841
,,,Mar,95.81%,7724
,,,Apr,95.46%,7673
,,,May,95.82%,7633
,,,Jun,95.78%,6664
,,,Jul,95.62%,7243
,,,Aug,95.35%,8553
,,,Sep,95.52%,7207
,,,Oct,95.61%,8422
,,,Nov,96.09%,6936
,,,Dec,95.91%,5866
,,2019,Jan,95.58%,7651
,,,Feb,95.12%,7295
,,,Mar,95.77%,7188
,,,Apr,95.86%,7945
,,,May,95.83%,7483
,,,Jun,95.92%,6961
,,,Jul,95.96%,7920
,,,Aug,95.97%,8412
,,,Sep,95.88%,7664
,,,Oct,96.31%,8680
,,,Nov,96.22%,6530
,,,Dec,96.49%,6719
,,2020,Jan,96.46%,8164
,,,Feb,96.10%,7308
,,,Mar,96.32%,4750
,,,Apr,97.24%,2431
,,,May,96.71%,5531
,,,Jun,97.09%,8234
,,,Jul,96.36%,7536
,,,Aug,96.03%,7500
,,,Sep,96.27%,8197
,,,Oct,96.41%,9098
,,,Nov,96.04%,7567
,,,Dec,95.76%,7574
,,2021,Jan,96.03%,7585
,,,Feb,95.76%,6395
,,,Mar,95.33%,9867
,,,Apr,94.66%,9615
,,,May,95.26%,8333
,,,Jun,95.07%,8994
,,,Jul,95.07%,8765
,,,Aug,94.49%,9143
,,,Sep,95.44%,8887
,,,Oct,95.31%,9546
,,,Nov,95.35%,8706
,,,Dec,95.60%,8204
,,2022,Jan,95.47%,8711
,,,Feb,95.33%,8908
,,,Mar,95.54%,10463
,,,Apr,95.30%,9785
,,,May,95.18%,9274
,,,Jun,95.52%,9112
,,,Jul,95.44%,8430
,,,Aug,94.92%,11132
,,,Sep,95.23%,10121
,,,Oct,95.64%,9612
,,,Nov,95.57%,8870
,,,Dec,95.44%,7986
,,2023,Jan,95.20%,9629
,,,Feb,95.66%,9520
,,,Mar,95.80%,10668
,,,Apr,95.58%,9390
,,,May,95.84%,10366
,,,Jun,95.56%,9541
,,,Jul,95.94%,9484
,,,Aug,95.27%,11609
,,,Sep,95.04%,9994
,,,Oct,95.84%,10852
,,,Nov,95.98%,10001
,,,Dec,96.07%,8839
,,2024,Jan,95.60%,11187
,,,Feb,95.06%,11486
,,,Mar,95.83%,11076
,,,Apr,95.42%,12458
,,,May,95.66%,11217
,,,Jun,95.37%,10468
,,,Jul,95.39%,11626
,,,Aug,94.73%,13477
,,,Sep,95.48%,11909
,,,Oct,95.36%,12719
,,,Nov,95.01%,10163
,,,Dec,95.34%,10783
,,2025,Jan,95.05%,12188
,,,Feb,94.96%,11988
,,,Mar,94.77%,12387
,,,Apr,94.70%,12980
,,,May,94.82%,11827
,,,Jun,94.70%,11978
,,,Jul,94.80%,12896
,,,Aug,94.76%,13102
,,,Sep,94.72%,12717
,,,Oct 1 – Oct 30,94.39%,12776
? 3 and < 4 Years,Texas,2018,Jan,95.79%,3800
,,,Feb,95.77%,3755
,,,Mar,96.15%,4829
,,,Apr,96.20%,5132
,,,May,96.32%,5088
,,,Jun,96.30%,4379
,,,Jul,96.84%,5163
,,,Aug,96.22%,6639
,,,Sep,96.22%,4970
,,,Oct,96.70%,5872
,,,Nov,96.47%,4877
,,,Dec,96.37%,3908
,,2019,Jan,96.07%,4960
,,,Feb,95.64%,4751
,,,Mar,96.25%,4611
,,,Apr,96.43%,5234
,,,May,96.32%,5053
,,,Jun,96.46%,4665
,,,Jul,96.58%,5585
,,,Aug,95.89%,6588
,,,Sep,96.30%,5372
,,,Oct,96.37%,5949
,,,Nov,96.62%,4550
,,,Dec,96.12%,4097
,,2020,Jan,96.86%,5160
,,,Feb,96.36%,4618
,,,Mar,96.77%,2814
,,,Apr,97.12%,1112
,,,May,97.11%,3187
,,,Jun,97.23%,5382
,,,Jul,96.97%,5049
,,,Aug,96.46%,5618
,,,Sep,96.63%,6058
,,,Oct,96.90%,6900
,,,Nov,96.68%,5334
,,,Dec,96.37%,4851
,,2021,Jan,96.82%,4935
,,,Feb,97.07%,4027
,,,Mar,96.62%,6145
,,,Apr,95.95%,5834
,,,May,95.79%,5182
,,,Jun,96.06%,6092
,,,Jul,96.09%,6010
,,,Aug,95.71%,6782
,,,Sep,95.96%,5789
,,,Oct,96.28%,6122
,,,Nov,95.73%,5716
,,,Dec,95.43%,4992
,,2022,Jan,96.20%,5284
,,,Feb,96.02%,5153
,,,Mar,96.26%,6211
,,,Apr,95.52%,6244
,,,May,95.22%,5815
,,,Jun,95.67%,5955
,,,Jul,95.58%,5730
,,,Aug,94.88%,7910
,,,Sep,94.96%,6721
,,,Oct,95.29%,6305
,,,Nov,96.15%,5638
,,,Dec,95.69%,5105
,,2023,Jan,95.52%,6022
,,,Feb,95.93%,5999
,,,Mar,95.44%,6737
,,,Apr,96.01%,5934
,,,May,95.19%,6650
,,,Jun,95.42%,6003
,,,Jul,95.82%,6196
,,,Aug,95.56%,8274
,,,Sep,95.15%,6553
,,,Oct,96.01%,6694
,,,Nov,95.68%,6113
,,,Dec,95.85%,5204
,,2024,Jan,95.72%,6494
,,,Feb,95.53%,6665
,,,Mar,95.15%,6103
,,,Apr,95.92%,7255
,,,May,95.76%,6858
,,,Jun,95.48%,6234
,,,Jul,95.56%,7157
,,,Aug,95.02%,9041
,,,Sep,95.74%,7626
,,,Oct,95.01%,7843
,,,Nov,95.62%,6006
,,,Dec,95.52%,6075
,,2025,Jan,95.45%,7011
,,,Feb,94.78%,6940
,,,Mar,94.82%,7410
,,,Apr,95.88%,8017
,,,May,95.35%,6728
,,,Jun,95.02%,6883
,,,Jul,94.54%,8070
,,,Aug,94.85%,8802
,,,Sep,94.74%,8024
,,,Oct 1 – Oct 30,94.96%,7601
,"Total: Total includes all data under the ? 3 and &lt; 4 Years bucket, including data from rows not currently displayed.",2018,Jan,95.79%,3800
,,,Feb,95.77%,3755
,,,Mar,96.15%,4829
,,,Apr,96.20%,5132
,,,May,96.32%,5088
,,,Jun,96.30%,4379
,,,Jul,96.84%,5163
,,,Aug,96.22%,6639
,,,Sep,96.22%,4970
,,,Oct,96.70%,5872
,,,Nov,96.47%,4877
,,,Dec,96.37%,3908
,,2019,Jan,96.07%,4960
,,,Feb,95.64%,4751
,,,Mar,96.25%,4611
,,,Apr,96.43%,5234
,,,May,96.32%,5053
,,,Jun,96.46%,4665
,,,Jul,96.58%,5585
,,,Aug,95.89%,6588
,,,Sep,96.30%,5372
,,,Oct,96.37%,5949
,,,Nov,96.62%,4550
,,,Dec,96.12%,4097
,,2020,Jan,96.86%,5160
,,,Feb,96.36%,4618
,,,Mar,96.77%,2814
,,,Apr,97.12%,1112
,,,May,97.11%,3187
,,,Jun,97.23%,5382
,,,Jul,96.97%,5049
,,,Aug,96.46%,5618
,,,Sep,96.63%,6058
,,,Oct,96.90%,6900
,,,Nov,96.68%,5334
,,,Dec,96.37%,4851
,,2021,Jan,96.82%,4935
,,,Feb,97.07%,4027
,,,Mar,96.62%,6145
,,,Apr,95.95%,5834
,,,May,95.79%,5182
,,,Jun,96.06%,6092
,,,Jul,96.09%,6010
,,,Aug,95.71%,6782
,,,Sep,95.96%,5789
,,,Oct,96.28%,6122
,,,Nov,95.73%,5716
,,,Dec,95.43%,4992
,,2022,Jan,96.20%,5284
,,,Feb,96.02%,5153
,,,Mar,96.26%,6211
,,,Apr,95.52%,6244
,,,May,95.22%,5815
,,,Jun,95.67%,5955
,,,Jul,95.58%,5730
,,,Aug,94.88%,7910
,,,Sep,94.96%,6721
,,,Oct,95.29%,6305
,,,Nov,96.15%,5638
,,,Dec,95.69%,5105
,,2023,Jan,95.52%,6022
,,,Feb,95.93%,5999
,,,Mar,95.44%,6737
,,,Apr,96.01%,5934
,,,May,95.19%,6650
,,,Jun,95.42%,6003
,,,Jul,95.82%,6196
,,,Aug,95.56%,8274
,,,Sep,95.15%,6553
,,,Oct,96.01%,6694
,,,Nov,95.68%,6113
,,,Dec,95.85%,5204
,,2024,Jan,95.72%,6494
,,,Feb,95.53%,6665
,,,Mar,95.15%,6103
,,,Apr,95.92%,7255
,,,May,95.76%,6858
,,,Jun,95.48%,6234
,,,Jul,95.56%,7157
